venue_uri,venue_name
https://dblp.org/streams/conf/pkc,Public Key Cryptography
https://dblp.org/streams/conf/siggraph,SIGGRAPH
https://dblp.org/streams/conf/siggrapha,SIGGRAPH ASIA Educators Program
https://dblp.org/streams/conf/ACMdis,Symposium on Designing Interactive Systems
https://dblp.org/streams/conf/visigrapp,VISIGRAPP (2: HUCAPP)
https://dblp.org/streams/conf/icdm,ICDM
https://dblp.org/streams/conf/ehci,EHCI/DS-VIS
https://dblp.org/streams/conf/icnp,ICNP
https://dblp.org/streams/conf/iccd,ICCD
https://dblp.org/streams/conf/acml,ACML
https://dblp.org/streams/conf/lpnmr,LPNMR
https://dblp.org/streams/conf/isaac,ISAAC
https://dblp.org/streams/conf/eucnc,EuCNC
https://dblp.org/streams/conf/IEEEicci,IEEE ICCI
https://dblp.org/streams/conf/wstst,WSTST
https://dblp.org/streams/conf/dw,Data Warehousing
https://dblp.org/streams/conf/tase,TASE
https://dblp.org/streams/conf/icdcs,ICDCS
https://dblp.org/streams/conf/iwoca,IWOCA
https://dblp.org/streams/conf/embc,EMBC
https://dblp.org/streams/conf/sp,IEEE Symposium on Security and Privacy
https://dblp.org/streams/conf/parle,PARLE
https://dblp.org/streams/conf/icws,ICWS
https://dblp.org/streams/conf/cimca,CIMCA/IAWTIC
https://dblp.org/streams/conf/forge,FORGE
https://dblp.org/streams/conf/lpar,LPAR
https://dblp.org/streams/conf/ausai,Australasian Conference on Artificial Intelligence
https://dblp.org/streams/conf/greencom,GreenCom
https://dblp.org/streams/conf/s-3,S3@MobiCom
https://dblp.org/streams/conf/mobicom,Mobility Management & Wireless Access Protocols
https://dblp.org/streams/conf/fdtc,FDTC
https://dblp.org/streams/conf/ifip3-2,University Education Uses of Visualization in Scientific Computing
https://dblp.org/streams/conf/nanoarch,NANOARCH
https://dblp.org/streams/conf/ddecs,DDECS
https://dblp.org/streams/conf/step,STEP
https://dblp.org/streams/conf/ebusiness,Innovationen im E-Business
https://dblp.org/streams/conf/egve,EGVE
https://dblp.org/streams/conf/simulationstechnik,Simulationstechnik
https://dblp.org/streams/conf/dtis,DTIS
https://dblp.org/streams/conf/innovations,ITCS
https://dblp.org/streams/conf/ecmr,ECMR
https://dblp.org/streams/conf/ams,AMS
https://dblp.org/streams/conf/adc,ADC
https://dblp.org/streams/conf/trec,TREC
https://dblp.org/streams/conf/mobilight,MOBILIGHT
https://dblp.org/streams/conf/iptps,IPTPS
https://dblp.org/streams/conf/ncm,NCM
https://dblp.org/streams/conf/wicsa,WICSA
https://dblp.org/streams/conf/bigdataconf,IEEE BigData
https://dblp.org/streams/conf/waim,WAIM
https://dblp.org/streams/conf/icis,ICIS
https://dblp.org/streams/conf/mates,MATES
https://dblp.org/streams/conf/cans,CANS
https://dblp.org/streams/conf/post,POST
https://dblp.org/streams/conf/techdebt,TechDebt@ICSE
https://dblp.org/streams/conf/eenergy,e-Energy
https://dblp.org/streams/conf/issep,ISSEP
https://dblp.org/streams/conf/acl,ACL (1)
https://dblp.org/streams/conf/sde,SDE
https://dblp.org/streams/conf/euromedia,EUROMEDIA
https://dblp.org/streams/conf/acmidc,IDC
https://dblp.org/streams/conf/ssiri,SERE (Companion)
https://dblp.org/streams/conf/sosa,SOSA
https://dblp.org/streams/conf/scesm,SCESM
https://dblp.org/streams/conf/iess,IESS
https://dblp.org/streams/conf/humanoids,Humanoids
https://dblp.org/streams/conf/automata,Automatentheorie und Formale Sprachen
https://dblp.org/streams/conf/icpr,ICPR
https://dblp.org/streams/conf/ecoop,ECOOP Workshops
https://dblp.org/streams/conf/chira,CHIRA (1)
https://dblp.org/streams/conf/geneme,GeNeMe
https://dblp.org/streams/conf/nldb,NLDB
https://dblp.org/streams/conf/mobilesoft,MOBILESoft@ICSE
https://dblp.org/streams/conf/faw,FAW
https://dblp.org/streams/conf/ipccc,IPCCC
https://dblp.org/streams/conf/ide,IDE@ICSE
https://dblp.org/streams/conf/esann,ESANN
https://dblp.org/streams/conf/kbse,ASE
https://dblp.org/streams/conf/bx,Bx@PLW
https://dblp.org/streams/conf/isda,ISDA (1)
https://dblp.org/streams/conf/kpdays,SoSP
https://dblp.org/streams/conf/isooms,ISOOMS
https://dblp.org/streams/conf/metainformatics,Metainformatics
https://dblp.org/streams/conf/amcc,ACC
https://dblp.org/streams/conf/visualization,IEEE Visualization
https://dblp.org/streams/conf/latin,LATIN
https://dblp.org/streams/conf/asru,ASRU
https://dblp.org/streams/conf/uss,USENIX Security Symposium
https://dblp.org/streams/conf/fmoods,FMOODS
https://dblp.org/streams/conf/aia,Artificial Intelligence and Applications
https://dblp.org/streams/conf/wistp,WISTP
https://dblp.org/streams/conf/sc,SC
https://dblp.org/streams/conf/h2rc,H2RC@SC
https://dblp.org/streams/conf/wi,Wissensbasierte Systeme
https://dblp.org/streams/conf/ictcs,ICTCS
https://dblp.org/streams/conf/acsd,ACSD
https://dblp.org/streams/conf/fpl,FPL
https://dblp.org/streams/conf/conversations,CONVERSATIONS
https://dblp.org/streams/conf/parco,PARCO
https://dblp.org/streams/conf/simutools,SimuTools
https://dblp.org/streams/conf/macis,MACIS
https://dblp.org/streams/conf/cade,CADE
https://dblp.org/streams/conf/ijcar,IJCAR
https://dblp.org/streams/conf/wea,SEA
https://dblp.org/streams/conf/ism2,ISM
https://dblp.org/streams/conf/ijcai,IJCAI
https://dblp.org/streams/conf/mwscas,MWSCAS
https://dblp.org/streams/conf/nesy,NeSy
https://dblp.org/streams/conf/iswc,ISWC
