author_uri,author_name,primary_affiliations,all_affiliations,matched_paderborn_affiliations
https://dblp.org/pid/k/MKoester,Markus K\u00F6ster,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/k/UweKastens,Uwe Kastens,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/119/5839,Jakob Bossek,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/20/4268-2,J\u00FCrgen Vollmer,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/02/691-2,Robert Wagner,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/12/4452,Sabrina Gei\u00DFler,"University of Paderborn, Heinz Nixdorf Institute, Germnany","University of Paderborn, Heinz Nixdorf Institute, Germnany","University of Paderborn, Heinz Nixdorf Institute, Germnany | University of Paderborn, Heinz Nixdorf Institute, Germnany"
https://dblp.org/pid/34/34-2,Wolfgang Meyer,"Oldenbourg University of Paderborn, Germany","Oldenbourg University of Paderborn, Germany","Oldenbourg University of Paderborn, Germany | Oldenbourg University of Paderborn, Germany"
https://dblp.org/pid/34/2589,Heike Trautmann,"Paderborn University, Department of Computer Science, Paderborn, Germany","Paderborn University, Department of Computer Science, Paderborn, Germany","Paderborn University, Department of Computer Science, Paderborn, Germany | Paderborn University, Department of Computer Science, Paderborn, Germany"
https://dblp.org/pid/327/6458,Harshini Sri Ramulu,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/181/2328-6,Tao Xie,"Fraunhofer Institute for Production Technology (IPT), Paderborn, Germany","Fraunhofer Institute for Production Technology (IPT), Paderborn, Germany","Fraunhofer Institute for Production Technology (IPT), Paderborn, Germany | Fraunhofer Institute for Production Technology (IPT), Paderborn, Germany"
https://dblp.org/pid/140/3577,Abdelmoneim Amer Desouki,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/24/160,Alexander Krupp,"Paderborn University, C-LAB, Paderborn, Germany","Paderborn University, C-LAB, Paderborn, Germany","Paderborn University, C-LAB, Paderborn, Germany | Paderborn University, C-LAB, Paderborn, Germany"
https://dblp.org/pid/24/250-2,Matthias Hilbig,"Heinz Nixdorf Institute, University of Paderborn, Germany","Heinz Nixdorf Institute, University of Paderborn, Germany","Heinz Nixdorf Institute, University of Paderborn, Germany | Heinz Nixdorf Institute, University of Paderborn, Germany"
https://dblp.org/pid/24/6914-43,Hong Zhang,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/80/3639-9,Muhammad Awais,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/80/1348-2,Andr\u00E9 Schulz,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
